sessionID,siteID,utilization_rate,tariff,multiplier,pricing_signal,revenue_inr,dynamic_revenue_inr
2_39_91_437_2020-07-29 16:12:11.695692,caltech,1.0,27.0,1.8,SURGE,90.0,162.0
2_39_131_30_2021-07-24 22:45:08.974540,caltech,0.6538144175230666,13.25,0.8831,NORMAL,206.01,181.9755
2_39_126_20_2020-02-26 17:42:52.428658,caltech,0.7749370910920985,14.7,0.9799,NORMAL,199.875,195.87749999999997
2_39_79_380_2020-06-30 20:21:13.995218,caltech,0.22618132102879604,13.52,0.9016,DISCOUNT,40.935,36.89608
2_39_81_4550_2021-06-18 18:51:27.449127,caltech,1.0,27.0,1.8,SURGE,180.66,325.188
2_39_79_376_2020-02-28 18:00:57.638649,caltech,0.6871247498332221,13.65,0.9097,NORMAL,17.669999999999998,16.0797
1_1_191_782_2021-08-02 15:28:02.242781,jpl,0.1662554089332332,12.33,0.8217,DISCOUNT,102.69,84.41118
2_39_138_29_2020-06-21 00:48:58.290178,caltech,0.999511616549222,26.97,1.798,SURGE,404.205,726.76059
1_1_193_819_2021-09-02 13:51:03.091833,jpl,0.2964473419684655,14.93,0.9953,DISCOUNT,79.635,79.26337
2_39_123_23_2020-03-03 19:51:46.814877,caltech,0.9985092426952892,26.91,1.794,SURGE,38.73,69.48161999999999
2_39_139_28_2021-08-29 23:49:03.256842,caltech,0.6106301369863013,12.73,0.8485,NORMAL,161.07,136.69474
2_39_88_24_2020-03-10 01:28:49.126740,caltech,0.4434886499402628,10.72,0.7148,NORMAL,42.059999999999995,30.05888
1_1_179_798_2021-07-01 22:28:14.430553,jpl,0.998768135778812,26.93,1.7951,SURGE,90.55499999999999,162.57641
2_39_125_21_2021-08-22 13:39:57.511400,caltech,0.7937238493723849,14.92,0.995,NORMAL,101.97,101.42616
2_39_81_4550_2021-03-20 19:59:16.973557,caltech,1.0,27.0,1.8,SURGE,440.565,793.0169999999999
2_39_139_28_2021-06-23 14:53:03.481841,caltech,0.12971963573109588,11.59,0.773,DISCOUNT,63.99,49.44294
2_39_127_19_2021-07-20 17:24:54.805164,caltech,0.9982900136798906,26.9,1.7932,SURGE,82.065,147.16989999999998
1_1_179_787_2021-06-28 17:06:36.496168,jpl,0.8777651540466486,19.67,1.3111,SURGE,251.175,329.37415000000004
2_39_81_4550_2021-07-24 03:58:45.887766,caltech,1.0,27.0,1.8,SURGE,466.2,839.16
2_39_139_28_2020-12-27 23:54:08.045467,caltech,0.7514908492699979,14.42,0.9612,NORMAL,96.88499999999999,93.13878
1_1_193_825_2021-08-12 21:38:41.518959,jpl,0.9995010477996209,26.97,1.798,SURGE,233.82,420.40835999999996
1_1_179_794_2021-06-22 21:13:32.053521,jpl,0.6933685688330994,13.72,0.9147,NORMAL,201.42000000000002,184.23216000000002
1_1_191_778_2021-06-25 18:02:22.070518,jpl,0.16524564667981226,12.3,0.8203,DISCOUNT,137.55,112.79100000000001
2_39_139_28_2021-04-09 00:24:01.318267,caltech,0.4031076581576027,10.24,0.6825,NORMAL,14.19,9.68704
2_39_139_28_2021-08-11 01:33:07.890030,caltech,0.9979975971165399,26.88,1.792,SURGE,34.44,61.71647999999999
2_39_88_24_2021-07-15 18:16:20.512025,caltech,0.9991532599491957,26.95,1.7966,SURGE,68.46000000000001,122.9998
2_39_78_365_2021-07-12 20:40:04.085867,caltech,0.2879398130557033,14.76,0.9839,DISCOUNT,89.415,87.98436000000001
1_1_194_821_2021-06-01 15:13:28.636687,jpl,0.9989693377995362,26.94,1.7959,SURGE,54.300000000000004,97.5228
1_1_179_797_2021-08-31 15:29:41.690544,jpl,0.38141232717405354,9.98,0.6651,NORMAL,307.11,204.33052
2_39_79_383_2021-09-08 19:16:57.658989,caltech,0.47099948213360954,11.05,0.7368,NORMAL,12.9,9.503
1_1_178_828_2021-08-23 14:58:05.685763,jpl,0.0720271196770016,10.44,0.696,DISCOUNT,11.265,7.84044
2_39_129_17_2021-08-12 01:21:23.306494,caltech,0.8179709437187157,16.08,1.0719,SURGE,180.555,193.55496
1_1_193_827_2021-06-06 18:02:12.346408,jpl,0.8210644467308952,16.26,1.0843,SURGE,153.075,165.93330000000003
2_39_81_4550_2021-07-21 16:17:27.123826,caltech,1.0,27.0,1.8,SURGE,541.1999999999999,974.16
2_39_127_19_2021-07-24 01:46:10.958706,caltech,0.4813018807563436,11.18,0.745,NORMAL,784.965,585.0605800000001
1_1_179_783_2021-07-13 16:00:05.654644,jpl,0.39564401422362705,10.15,0.6765,NORMAL,95.595,64.68595
2_39_131_30_2021-02-13 20:09:20.314424,caltech,1.0,27.0,1.8,SURGE,27.615,49.707
2_39_79_377_2020-06-08 16:11:08.435856,caltech,0.9520820355551296,24.12,1.6083,SURGE,562.575,904.6206000000001
2_39_95_27_2020-02-25 20:38:20.301824,caltech,0.4270423513075677,10.52,0.7016,NORMAL,99.47999999999999,69.76863999999999
1_1_193_820_2021-08-10 10:28:43.682562,jpl,1.0,27.0,1.8,SURGE,191.52,344.736
1_1_179_797_2021-09-08 13:46:03.740850,jpl,0.8334839373072009,17.01,1.1339,SURGE,602.3100000000001,683.0195400000001
1_1_179_800_2021-06-03 14:14:27.254775,jpl,0.9996059372126627,26.98,1.7984,SURGE,558.225,1004.0607000000001
2_39_81_4550_2020-12-14 15:55:11.424630,caltech,1.0,27.0,1.8,SURGE,147.465,265.437
2_39_127_19_2021-08-12 20:57:12.446882,caltech,0.9525741029641186,24.15,1.6103,SURGE,87.55499999999999,140.96355
2_39_79_376_2020-03-22 13:31:15.554413,caltech,0.5728957356552803,12.27,0.8183,NORMAL,356.94,291.97692
1_1_179_799_2021-07-21 13:00:14.736974,jpl,0.06653872286657686,10.33,0.6887,DISCOUNT,205.155,141.28341
2_39_131_30_2021-07-31 14:17:22.108884,caltech,0.30686092582376245,9.08,0.6055,NORMAL,353.82,214.17904000000001
2_39_81_4550_2021-09-11 03:33:39.200547,caltech,1.0,27.0,1.8,SURGE,216.0,388.8
2_39_139_28_2021-08-11 22:43:35.545120,caltech,1.0,27.0,1.8,SURGE,12.892641666666664,23.206754999999998
2_39_83_386_2020-12-23 18:36:36.362615,caltech,0.5650000000000001,12.18,0.812,NORMAL,13.695,11.12034
1_1_194_818_2021-09-03 12:47:56.523181,jpl,0.4711125784087158,11.05,0.7369,NORMAL,158.76,116.95320000000001
2_39_125_21_2021-06-19 21:10:33.927354,caltech,0.9990157480314961,26.94,1.7961,SURGE,70.65,126.8874
2_39_131_30_2021-03-01 00:26:43.891387,caltech,0.2091941590048675,13.18,0.8789,DISCOUNT,12.54,11.018479999999998
2_39_81_4550_2021-09-10 23:37:29.176619,caltech,1.0,27.0,1.8,SURGE,198.3,356.94
1_1_193_820_2021-08-07 18:17:47.931287,jpl,0.6594107092265559,13.31,0.8875,NORMAL,264.885,235.04129
2_39_81_4550_2021-02-21 16:14:30.398160,caltech,1.0,27.0,1.8,SURGE,383.475,690.255
2_39_78_365_2021-07-16 21:15:56.024442,caltech,0.3164395229982965,9.2,0.6132,NORMAL,31.65,19.412
2_39_81_4550_2021-07-08 22:53:12.104274,caltech,1.0,27.0,1.8,SURGE,51.18,92.124
1_1_191_807_2021-06-19 17:42:56.031964,jpl,0.6134820215883909,12.76,0.8508,NORMAL,109.16999999999999,92.86728
1_1_193_816_2021-08-07 20:36:35.567720,jpl,0.987875522026135,26.27,1.7515,SURGE,13.14,23.01252
1_1_178_828_2021-07-19 23:20:30.565643,jpl,0.9869848156182212,26.22,1.7479,SURGE,79.21499999999999,138.46782
2_39_123_23_2021-07-29 15:45:40.770695,caltech,0.07146189010168859,10.43,0.6953,DISCOUNT,13.455,9.35571
1_1_191_782_2021-05-26 16:00:32.236879,jpl,1.0,27.0,1.8,SURGE,117.66000000000001,211.788
1_1_179_797_2021-08-30 20:54:52.183783,jpl,0.7781065088757396,14.74,0.9825,NORMAL,140.355,137.92218
2_39_139_28_2020-02-28 04:27:32.892471,caltech,0.5676779463243874,12.21,0.8141,NORMAL,41.055,33.41877
2_39_81_4550_2021-06-26 08:14:00.478358,caltech,1.0,27.0,1.8,SURGE,307.38,553.284
2_39_81_4550_2021-08-14 02:37:38.682844,caltech,1.0,27.0,1.8,SURGE,178.56,321.408
2_39_81_4550_2021-02-19 01:56:42.012216,caltech,1.0,27.0,1.8,SURGE,359.65500000000003,647.379
1_1_193_829_2021-07-14 19:46:04.387598,jpl,0.20213437217085956,13.04,0.8695,DISCOUNT,91.86,79.85695999999999
1_1_194_822_2021-07-07 14:28:55.262569,jpl,1.0,27.0,1.8,SURGE,83.925,151.065
1_1_179_810_2021-08-31 15:29:52.097295,jpl,0.17242012486228425,12.45,0.8299,DISCOUNT,41.925,34.79775
