episode,surge_thresh,max_surge_mult,max_disc_mult
3,0.775,1.8,0.6
4,0.75,1.8,0.6
5,0.725,1.8,0.6
6,0.7,1.8,0.6
7,0.6749999999999999,1.8,0.6
8,0.65,1.8,0.6
9,0.65,1.8,0.58
10,0.65,1.8,0.58
11,0.65,1.8,0.58
12,0.65,1.8,0.58
13,0.65,1.8,0.58
14,0.65,1.8,0.58
15,0.65,1.8,0.58
16,0.65,1.8,0.58
17,0.65,1.8,0.58
18,0.65,1.8,0.58
19,0.65,1.8,0.58
20,0.65,1.8,0.58
21,0.65,1.8,0.58
22,0.65,1.8,0.58
23,0.65,1.8,0.58
24,0.65,1.8,0.58
25,0.65,1.8,0.58
26,0.65,1.8,0.58
27,0.65,1.8,0.58
28,0.65,1.8,0.58
29,0.65,1.8,0.58
30,0.65,1.8,0.58
31,0.65,1.8,0.58
32,0.65,1.8,0.58
33,0.65,1.8,0.58
34,0.65,1.8,0.58
35,0.65,1.8,0.58
36,0.65,1.8,0.58
37,0.65,1.8,0.58
38,0.65,1.8,0.58
39,0.65,1.8,0.58
40,0.65,1.8,0.59
41,0.65,1.8,0.6
42,0.65,1.8,0.61
43,0.65,1.8,0.61
44,0.65,1.8,0.61
45,0.65,1.8,0.61
46,0.65,1.8,0.61
47,0.65,1.8,0.61
48,0.65,1.8,0.61
49,0.65,1.8,0.61
50,0.65,1.8,0.61
51,0.65,1.8,0.61
52,0.65,1.8,0.61
53,0.65,1.8,0.62
54,0.65,1.8,0.63
55,0.65,1.8,0.64
56,0.65,1.8,0.65
57,0.65,1.8,0.66
58,0.65,1.8,0.67
59,0.65,1.8,0.67
60,0.65,1.8,0.67
61,0.65,1.8,0.67
62,0.65,1.8,0.68
63,0.65,1.8,0.6900000000000001
64,0.65,1.8,0.7000000000000001
65,0.65,1.8,0.7100000000000001
66,0.65,1.8,0.7100000000000001
67,0.65,1.8,0.7100000000000001
68,0.65,1.8,0.7100000000000001
69,0.65,1.8,0.7200000000000001
70,0.65,1.8,0.7300000000000001
71,0.65,1.8,0.7400000000000001
